,FacilityID,State,LAT,LON,CapTon,HiMBTUTon,EiMBTUTon,pETonTon
0,0,AL,32.3182,-86.9023,74.02554116694566,0.3499168908547746,0.2999972419246832,0.0999093437246022
1,1,ND,47.5289,-99.784,88.82146066405593,0.3497640749236218,0.2999436155101815,0.10012366837551409
2,2,CA,36.7783,-119.4179,69.4241653789053,0.3499448083282904,0.3000007336082885,0.09997441803327714
3,3,AR,35.201,-91.8318,71.00160099006855,0.34999982491825077,0.3000121971269336,0.09995431727955453
4,4,TX,31.0545,-97.5635,78.50075291657426,0.350158629713832,0.29998263652342105,0.10007289589799506
5,5,WA,47.4009,-121.4905,55.33228781342607,0.35007585120975243,0.29995713719426503,0.09999284744651879
6,6,WA,47.4009,-121.4905,81.47570655397068,0.3499013512914997,0.300065240935691,0.10002091519523837
7,7,VT,44.0459,-72.7107,69.30858919716248,0.3500999069385632,0.30004246999876805,0.09988366741594558
8,8,VA,37.7693,-78.17,77.91812348085926,0.349950387613422,0.2999922867319308,0.10004050469378392
9,9,ME,44.6939,-69.3819,96.30353680886884,0.3499190158792345,0.2999992857249141,0.09998685714177018
